Amplitude, Phi, Normalized Tacc, Zeta, Fit Correlation 
0.9866, 0.0315, 0.01, 0.0, 1.0 
0.987, 0.0315, 0.01, 0.02, 1.0 
0.9871, 0.0315, 0.01, 0.04, 1.0 
0.9867, 0.0315, 0.01, 0.06, 1.0 
1.0019, 0.0319, 0.01, 0.08, 1.0 
1.0007, 0.0319, 0.01, 0.1, 1.0 
0.9991, 0.0318, 0.01, 0.12, 1.0 
0.9971, 0.0317, 0.01, 0.14, 1.0 
0.9947, 0.0316, 0.01, 0.16, 1.0 
0.9918, 0.0315, 0.01, 0.18, 1.0 
1.0044, 0.0319, 0.01, 0.2, 1.0 
1.0006, 0.0318, 0.01, 0.22, 1.0 
0.9964, 0.0316, 0.01, 0.24, 1.0 
1.0074, 0.032, 0.01, 0.26, 1.0 
1.0022, 0.0318, 0.01, 0.28, 1.0 
0.9965, 0.0316, 0.01, 0.3, 1.0 
1.0058, 0.0318, 0.01, 0.32, 1.0 
0.999, 0.0316, 0.01, 0.34, 1.0 
1.007, 0.0318, 0.01, 0.36, 1.0 
0.999, 0.0316, 0.01, 0.38, 1.0 
1.0056, 0.0318, 0.01, 0.4, 1.0 
1.0112, 0.0319, 0.01, 0.42, 1.0 
1.0013, 0.0316, 0.01, 0.44, 1.0 
1.0054, 0.0317, 0.01, 0.46, 1.0 
1.0085, 0.0318, 0.01, 0.48, 1.0 
1.0106, 0.0318, 0.01, 0.5, 1.0 
1.0116, 0.0318, 0.01, 0.52, 1.0 
1.0114, 0.0318, 0.01, 0.54, 1.0 
1.0101, 0.0317, 0.01, 0.56, 1.0 
1.0211, 0.032, 0.01, 0.58, 1.0 
1.0169, 0.0318, 0.01, 0.6, 1.0 
1.0243, 0.032, 0.01, 0.62, 1.0 
1.0168, 0.0318, 0.01, 0.64, 1.0 
1.0203, 0.0318, 0.01, 0.66, 1.0 
1.0213, 0.0318, 0.01, 0.68, 1.0 
0.9959, 0.0945, 0.03, 0.0, 1.0 
0.9976, 0.0945, 0.03, 0.02, 1.0 
0.9989, 0.0945, 0.03, 0.04, 1.0 
0.9998, 0.0945, 0.03, 0.06, 1.0 
1.0056, 0.0949, 0.03, 0.08, 1.0 
1.0057, 0.0948, 0.03, 0.1, 1.0 
1.0054, 0.0947, 0.03, 0.12, 1.0 
1.01, 0.095, 0.03, 0.14, 1.0 
1.0089, 0.0947, 0.03, 0.16, 1.0 
1.0127, 0.095, 0.03, 0.18, 1.0 
1.016, 0.0952, 0.03, 0.2, 1.0 
1.0189, 0.0953, 0.03, 0.22, 1.0 
1.0214, 0.0954, 0.03, 0.24, 1.0 
1.0233, 0.0954, 0.03, 0.26, 1.0 
1.0247, 0.0954, 0.03, 0.28, 1.0 
1.0257, 0.0954, 0.03, 0.3, 1.0 
1.0261, 0.0953, 0.03, 0.32, 1.0 
1.0312, 0.0956, 0.03, 0.34, 1.0 
1.0357, 0.0958, 0.03, 0.36, 1.0 
1.0343, 0.0956, 0.03, 0.38, 1.0 
1.0375, 0.0957, 0.03, 0.4, 1.0 
1.0399, 0.0957, 0.03, 0.42, 1.0 
1.0416, 0.0957, 0.03, 0.44, 1.0 
1.0476, 0.0961, 0.03, 0.46, 1.0 
1.0476, 0.0959, 0.03, 0.48, 1.0 
1.0518, 0.0961, 0.03, 0.5, 1.0 
1.0549, 0.0962, 0.03, 0.52, 1.0 
1.0569, 0.0962, 0.03, 0.54, 1.0 
1.0627, 0.0964, 0.03, 0.56, 1.0 
1.067, 0.0966, 0.03, 0.58, 1.0 
1.0699, 0.0966, 0.03, 0.6, 1.0 
1.0759, 0.0969, 0.03, 0.62, 1.0 
1.08, 0.097, 0.03, 0.64, 1.0 
1.0821, 0.0969, 0.03, 0.66, 1.0 
1.0911, 0.0973, 0.03, 0.68, 1.0 
